day_of_week,hum,weathersit,holiday,season,temp,hr,cnt
5,0.81,2,0,4,0.32,23,126
5,0.53,1,0,4,0.6,12,668
4,0.58,1,0,3,0.76,21,303
6,0.48,2,0,2,0.76,16,378
2,0.59,1,0,2,0.78,23,123
1,0.45,1,0,2,0.74,16,354
0,0.94,2,0,4,0.46,8,391
1,0.48,1,0,1,0.28,17,212
5,0.52,1,0,3,0.82,21,213
5,0.7,1,0,4,0.26,8,101
6,0.3,1,0,2,0.84,14,500
5,0.5,1,0,1,0.4,7,13
1,0.65,2,0,2,0.54,15,127
1,0.5,1,0,3,0.66,20,298
6,0.7,1,0,2,0.72,13,418
4,0.33,1,0,1,0.32,23,86
1,0.74,2,0,3,0.7,9,327
5,0.7,1,0,4,0.24,3,9
1,0.78,1,0,2,0.62,21,261
1,0.37,1,0,4,0.4,14,134
5,0.83,1,0,3,0.64,7,62
1,0.75,2,0,4,0.3,16,257
1,0.61,1,0,3,0.72,7,335
5,0.6,1,0,1,0.22,7,22
5,0.6,2,0,4,0.56,15,711
2,0.94,2,0,2,0.48,6,149
5,0.6,1,0,4,0.26,5,2
2,0.88,2,0,4,0.56,16,55
5,0.37,1,0,3,0.74,18,554
3,0.71,2,0,1,0.4,16,224
4,0.83,2,0,2,0.62,2,23
2,0.81,2,0,4,0.3,5,24
4,0.36,1,0,4,0.3,11,140
5,0.87,1,0,4,0.28,5,10
5,0.79,2,0,3,0.72,16,566
3,0.64,1,0,4,0.2,7,362
1,0.55,2,0,3,0.8,8,661
3,0.48,2,0,2,0.48,1,23
1,0.73,1,0,3,0.62,2,4
4,0.38,1,0,4,0.46,13,424
5,0.23,1,0,2,0.34,16,248
6,0.87,1,0,4,0.36,0,88
0,0.52,1,0,3,0.8,10,124
3,0.7,2,0,1,0.3,9,202
5,0.36,2,0,1,0.32,17,83
3,0.67,2,0,4,0.44,19,219
3,0.71,1,1,4,0.34,20,52
3,0.44,2,0,1,0.26,18,361
6,0.61,1,0,3,0.64,8,107
4,0.84,1,0,3,0.7,23,136
4,1.0,3,0,3,0.62,7,108
6,0.82,2,0,4,0.4,22,89
1,0.83,3,0,2,0.66,11,65
4,0.53,1,0,1,0.34,21,135
1,0.64,2,0,2,0.56,4,6
5,0.78,1,0,4,0.64,13,460
6,0.6,1,0,3,0.56,13,376
5,0.41,1,0,1,0.04,9,40
3,0.94,3,0,3,0.62,1,4
3,0.54,2,0,4,0.4,15,214
1,0.82,2,0,4,0.4,19,250
3,0.41,1,0,3,0.86,14,225
6,0.6,2,0,4,0.54,13,369
0,0.28,1,0,2,0.46,21,238
6,0.49,1,0,3,0.8,13,472
6,0.65,1,0,3,0.64,7,39
4,0.45,1,0,3,0.72,18,808
5,0.47,1,0,2,0.68,19,301
6,0.89,3,0,3,0.64,1,73
5,0.18,1,0,1,0.44,12,119
6,0.55,1,0,3,0.74,22,178
3,0.84,2,0,3,0.72,4,4
2,0.65,1,0,3,0.68,23,138
1,0.58,1,0,3,0.74,23,192
5,0.39,1,0,1,0.3,14,118
3,0.53,1,0,3,0.84,12,186
4,0.53,1,0,4,0.34,9,351
1,0.49,1,0,4,0.3,10,230
4,0.53,1,0,1,0.36,13,107
2,0.65,1,0,2,0.64,16,367
2,0.32,1,0,2,0.72,15,281
6,0.67,1,0,2,0.42,0,96
1,0.39,1,0,3,0.86,15,164
5,0.47,2,0,1,0.22,18,108
1,0.37,1,0,4,0.56,13,198
1,0.64,1,0,1,0.2,5,2
3,0.7,1,0,3,0.72,23,177
5,0.35,1,0,2,0.6,13,436
6,0.78,2,0,2,0.6,9,164
1,0.36,1,0,2,0.5,11,239
1,0.93,1,0,4,0.32,1,11
4,0.83,1,0,3,0.54,5,41
6,0.43,1,0,4,0.4,13,345
1,0.83,1,0,3,0.66,6,190
6,0.87,2,0,4,0.36,8,88
3,0.81,1,0,4,0.26,1,7
0,0.45,2,0,3,0.76,15,280
6,0.63,1,0,3,0.82,11,269
5,0.88,2,0,3,0.62,5,15
0,0.55,3,0,1,0.28,18,375
1,0.78,3,0,2,0.64,7,314
1,0.83,1,0,4,0.38,7,362
2,0.88,1,0,2,0.56,5,25
4,0.58,2,0,4,0.42,9,222
5,0.27,2,0,2,0.64,16,582
3,0.28,1,0,1,0.14,19,112
4,0.35,1,0,2,0.56,22,234
4,0.81,1,0,4,0.28,2,10
3,0.94,1,0,4,0.38,4,3
0,0.76,3,0,4,0.4,15,101
3,0.65,1,0,2,0.3,7,306
0,0.24,1,0,2,0.44,5,32
2,0.81,1,0,4,0.34,0,26
1,0.94,3,0,2,0.46,5,5
1,0.36,1,0,3,0.86,16,254
3,0.49,1,0,2,0.54,12,264
0,1.0,3,0,4,0.44,13,220
4,1.0,2,0,1,0.34,0,6
4,0.52,2,0,1,0.3,21,53
2,0.58,2,0,2,0.42,6,126
0,0.64,3,0,4,0.56,18,613
3,0.76,1,0,2,0.38,1,10
1,0.55,1,0,3,0.78,11,218
3,0.54,1,0,1,0.12,4,1
3,0.78,1,0,3,0.6,0,51
0,0.76,1,1,4,0.4,4,4
0,0.25,1,0,1,0.34,18,405
3,0.66,1,0,4,0.4,22,177
0,0.41,2,0,2,0.42,10,157
6,0.42,2,0,4,0.5,15,310
2,0.52,2,0,4,0.3,21,202
5,0.46,1,0,1,0.36,16,171
6,0.39,1,0,2,0.7,15,617
6,1.0,2,0,1,0.42,10,31
2,0.57,1,0,3,0.66,20,289
3,0.94,3,0,1,0.46,1,12
3,0.7,1,0,4,0.32,0,50
5,0.74,2,0,3,0.7,22,223
2,0.58,2,0,4,0.4,18,584
2,0.55,1,0,3,0.76,19,347
5,0.7,1,0,1,0.24,5,1
5,0.81,1,0,4,0.3,3,20
1,0.39,1,0,2,0.9,16,249
4,0.93,2,0,2,0.24,3,4
0,0.82,2,0,4,0.44,9,195
1,0.25,2,0,1,0.38,13,98
1,0.88,1,0,4,0.42,3,5
4,0.7,1,0,3,0.72,8,668
3,0.69,2,0,3,0.66,23,157
0,0.84,1,0,3,0.7,21,194
5,0.41,1,0,1,0.42,18,241
0,0.93,2,0,1,0.24,22,12
4,0.94,1,0,3,0.62,23,148
3,0.87,2,0,1,0.34,21,83
2,0.36,1,0,2,0.34,0,30
5,0.48,1,0,4,0.26,4,8
0,0.86,1,0,4,0.14,7,235
1,0.5,2,0,1,0.36,21,109
2,0.37,1,0,1,0.22,20,165
0,0.69,1,0,3,0.68,3,5
5,0.79,1,0,3,0.68,5,14
4,0.37,1,0,1,0.38,23,86
2,0.88,2,0,2,0.58,7,246
4,0.82,1,0,4,0.42,5,27
4,0.55,1,0,1,0.22,9,275
5,0.43,1,0,1,0.36,17,183
2,0.78,2,0,2,0.62,9,297
6,0.8,1,0,1,0.22,7,4
3,0.81,2,0,1,0.34,11,119
2,0.32,1,0,1,0.24,18,355
2,0.71,1,0,4,0.42,18,479
6,0.59,2,0,2,0.5,0,100
3,0.31,1,0,2,0.76,14,254
3,0.49,2,0,4,0.34,14,110
5,0.6,1,0,4,0.54,1,101
4,0.59,2,0,4,0.5,4,5
3,0.0,3,0,1,0.38,7,37
6,0.59,3,0,1,0.46,18,106
4,0.4,1,0,2,0.58,9,230
4,0.78,1,0,3,0.64,5,16
0,0.53,1,0,1,0.32,23,19
5,0.57,1,0,3,0.64,21,261
0,0.54,1,0,2,0.72,19,407
6,0.34,1,0,2,0.52,14,361
6,0.73,1,0,2,0.64,3,36
1,0.87,1,0,4,0.3,5,18
1,0.41,1,0,4,0.54,15,346
2,0.66,2,0,3,0.74,12,152
2,0.76,2,0,2,0.34,3,3
6,0.61,2,0,2,0.66,15,331
0,0.81,1,0,2,0.32,5,2
0,0.34,2,0,1,0.38,14,79
1,0.94,2,0,2,0.58,6,112
5,0.87,2,0,4,0.4,13,547
5,0.49,1,0,3,0.8,21,205
3,0.88,2,0,2,0.48,1,11
1,0.88,2,0,3,0.54,6,114
2,0.61,2,0,2,0.7,15,257
5,0.4,1,0,4,0.38,17,334
2,0.55,2,0,3,0.76,5,24
3,0.41,2,0,1,0.62,16,342
1,0.76,1,0,1,0.32,23,99
0,0.48,1,0,1,0.26,22,35
0,0.68,1,0,4,0.52,17,614
6,0.55,1,0,4,0.18,7,31
2,0.6,1,0,3,0.54,9,362
2,0.35,1,0,3,0.76,12,243
4,0.69,2,0,1,0.16,22,36
6,0.52,1,0,1,0.24,1,61
0,0.82,3,0,2,0.3,17,232
3,0.83,2,0,2,0.66,8,489
0,0.74,2,0,4,0.7,13,187
3,0.45,1,0,3,0.9,17,738
0,0.46,1,0,4,0.38,15,159
0,0.61,1,0,3,0.66,7,281
6,0.46,1,0,3,0.78,20,332
1,0.82,1,0,4,0.48,0,31
6,0.39,1,0,3,0.68,13,729
6,0.81,1,0,4,0.28,5,12
5,0.55,1,0,2,0.18,6,10
2,0.61,1,0,4,0.34,22,62
2,0.79,1,1,3,0.68,0,159
1,0.43,2,0,2,0.56,11,125
2,0.29,1,0,3,0.8,18,588
4,0.74,1,0,1,0.18,8,228
4,0.53,1,0,2,0.62,9,382
3,0.45,1,0,3,0.76,12,294
6,0.68,1,0,2,0.52,7,90
2,0.41,1,0,2,0.84,11,134
1,0.5,2,0,3,0.62,8,504
2,0.65,2,0,1,0.24,1,5
2,0.88,1,0,2,0.54,7,274
0,0.77,1,1,4,0.54,9,219
0,0.4,1,0,1,0.2,16,74
4,0.41,1,0,4,0.48,15,447
5,0.81,3,0,1,0.28,1,45
6,0.59,1,0,3,0.8,16,337
6,0.28,2,0,4,0.54,16,319
5,0.79,1,0,3,0.7,22,225
2,0.78,2,0,3,0.64,5,49
2,0.58,1,0,3,0.74,6,121
3,0.69,1,0,2,0.64,1,26
2,0.72,2,0,2,0.44,15,81
1,0.61,2,0,2,0.7,15,256
0,0.4,1,0,3,0.76,11,245
5,0.38,1,0,4,0.26,18,145
0,0.46,1,0,1,0.34,20,129
2,0.43,1,0,2,0.62,11,226
1,0.83,1,0,3,0.62,23,136
6,0.38,1,0,1,0.28,15,138
5,0.7,1,0,4,0.24,7,78
6,0.63,1,0,4,0.48,2,92
4,0.54,2,0,3,0.7,12,409
0,0.94,1,0,2,0.46,1,4
5,0.46,1,0,2,0.58,11,536
1,0.63,1,0,4,0.46,21,195
5,0.81,1,0,4,0.3,1,76
0,0.66,1,0,4,0.34,22,113
3,0.84,1,0,3,0.7,2,14
3,0.78,1,0,3,0.66,6,181
3,0.25,1,0,3,0.86,14,254
1,0.81,3,0,4,0.32,9,110
6,0.36,1,0,2,0.84,16,508
1,0.8,1,0,4,0.2,1,4
5,0.45,1,0,1,0.3,23,44
5,0.93,3,0,1,0.22,7,4
4,0.7,1,0,1,0.3,6,92
2,0.67,1,0,4,0.46,11,152
4,0.53,1,0,4,0.32,2,12
0,0.87,2,0,4,0.38,8,592
2,0.7,1,0,1,0.24,8,513
4,0.71,1,0,4,0.36,3,7
3,0.44,1,0,3,0.84,18,562
6,0.47,2,0,4,0.22,6,11
1,0.56,1,0,2,0.82,10,109
5,0.41,1,0,2,0.42,15,408
5,0.89,3,0,3,0.64,16,24
5,0.79,1,0,2,0.7,1,77
5,0.43,1,0,1,0.4,13,384
4,0.83,1,0,3,0.66,4,12
6,0.46,1,0,1,0.14,20,38
5,0.81,1,0,1,0.24,0,16
5,0.88,3,0,3,0.6,3,25
3,0.81,2,0,1,0.3,10,108
2,0.94,2,0,4,0.62,1,19
2,0.42,1,0,4,0.34,13,214
5,0.45,1,0,3,0.74,14,433
5,0.56,1,0,2,0.56,1,95
2,0.46,1,0,1,0.34,5,29
4,0.77,1,0,4,0.48,9,241
0,0.44,1,0,2,0.44,23,67
2,0.94,3,0,4,0.62,0,52
5,0.39,1,0,1,0.3,13,135
4,0.73,2,0,2,0.62,4,6
3,0.6,1,0,1,0.24,19,117
1,0.87,2,0,4,0.36,0,21
2,0.54,1,0,3,0.7,7,336
2,0.94,3,0,4,0.6,6,114
1,0.35,1,0,3,0.8,17,864
2,0.61,1,0,2,0.66,9,197
2,0.5,1,0,1,0.12,5,8
3,0.79,2,0,3,0.68,21,149
1,0.77,1,0,3,0.52,4,6
2,0.8,3,0,1,0.16,22,46
6,0.82,2,0,2,0.46,0,117
4,0.74,1,0,3,0.7,7,421
3,0.7,2,0,2,0.76,8,432
6,0.44,1,0,4,0.22,3,8
4,0.74,1,0,2,0.72,22,185
3,0.57,2,0,3,0.66,22,179
5,0.5,1,0,2,0.64,2,89
0,0.83,1,0,3,0.56,5,24
6,0.38,1,0,3,0.94,13,337
0,0.51,1,0,3,0.74,19,413
3,0.73,1,0,3,0.56,0,57
6,0.4,2,0,1,0.36,2,80
2,0.61,3,0,1,0.3,15,54
4,0.66,2,0,3,0.78,20,389
4,0.94,3,0,3,0.64,0,16
1,0.74,1,0,1,0.14,5,9
0,0.41,1,0,2,0.64,21,218
1,0.66,1,0,3,0.8,17,513
2,0.33,1,0,4,0.74,16,532
1,0.78,2,0,2,0.6,10,200
1,0.52,2,0,1,0.26,3,3
6,0.66,1,0,2,0.72,9,182
1,0.55,2,0,1,0.16,7,99
4,0.65,1,0,3,0.7,22,188
5,0.36,2,0,2,0.66,17,576
5,0.75,1,0,1,0.24,5,10
6,1.0,2,0,1,0.22,22,10
1,0.74,1,0,3,0.74,21,241
6,0.56,1,0,1,0.26,4,1
4,0.49,1,0,2,0.3,8,508
6,0.36,1,0,1,0.1,21,25
4,0.53,2,0,4,0.58,22,220
5,0.62,1,0,3,0.74,0,191
5,0.88,1,0,3,0.6,7,52
2,0.65,1,0,3,0.66,7,308
2,0.75,1,0,1,0.26,3,1
4,0.66,1,0,3,0.74,16,285
1,0.36,1,0,1,0.32,14,79
3,0.84,2,0,2,0.72,6,118
3,0.58,2,0,2,0.74,22,153
5,0.7,1,0,1,0.24,7,41
0,0.61,1,1,2,0.62,1,28
0,0.53,2,0,1,0.3,15,130
2,0.94,1,0,2,0.44,7,237
1,0.7,1,0,3,0.74,20,385
0,0.93,2,0,4,0.36,6,108
0,0.75,2,0,3,0.76,1,12
0,0.38,1,0,2,0.62,17,598
5,0.3,1,0,3,0.84,17,349
4,0.94,2,0,1,0.42,5,24
6,0.61,1,0,4,0.62,17,438
0,0.71,2,0,4,0.36,6,94
4,0.65,3,0,3,0.68,21,217
0,0.69,1,0,1,0.14,22,20
4,0.73,1,0,3,0.64,7,379
3,0.75,1,0,1,0.24,5,11
4,0.83,1,0,3,0.66,19,270
6,0.61,1,0,2,0.68,16,273
4,0.66,1,0,4,0.4,11,226
1,0.66,1,0,3,0.78,17,572
1,0.55,1,0,4,0.48,9,355
1,0.68,1,0,4,0.52,12,312
6,0.34,1,0,2,0.7,15,644
5,0.49,1,0,2,0.56,10,298
3,0.56,2,0,1,0.26,12,130
6,1.0,3,0,1,0.42,7,5
4,0.41,1,0,3,0.8,8,585
0,0.67,1,0,4,0.44,4,8
1,0.29,1,0,2,0.5,13,224
5,0.82,1,0,4,0.4,5,13
0,0.43,1,1,1,0.36,16,97
3,0.31,1,0,3,0.78,14,163
4,0.88,2,0,4,0.52,4,5
3,0.49,1,0,3,0.8,22,234
2,0.75,1,0,3,0.8,20,309
1,0.47,1,0,2,0.46,12,121
6,0.79,1,0,3,0.7,8,92
6,0.87,1,0,4,0.38,21,113
2,0.69,2,0,1,0.22,6,36
2,0.51,1,0,2,0.5,14,107
0,0.77,2,0,2,0.44,5,20
2,0.42,1,0,3,0.74,16,309
4,0.83,1,0,4,0.52,7,297
3,0.76,1,1,4,0.36,19,44
1,0.66,1,0,3,0.74,8,392
4,0.41,1,0,3,0.86,20,206
5,0.66,2,0,1,0.32,5,4
4,0.48,1,0,1,0.26,1,15
6,0.36,1,0,2,0.52,20,141
5,0.6,1,0,1,0.24,16,107
3,0.64,1,0,2,0.58,16,302
6,0.65,1,0,3,0.68,18,339
1,0.45,1,0,4,0.52,13,328
3,0.62,3,0,1,0.38,16,71
2,0.66,1,0,3,0.8,21,242
6,0.63,2,0,4,0.5,12,304
3,0.47,1,0,3,0.84,13,254
3,0.7,2,0,2,0.3,15,90
3,0.5,1,0,1,0.14,2,3
3,0.74,2,0,3,0.7,22,135
6,0.25,1,0,2,0.5,10,299
1,0.87,1,0,4,0.34,0,18
5,0.88,2,0,3,0.62,6,23
5,0.16,1,0,1,0.44,13,155
4,0.48,1,0,4,0.28,20,137
3,0.4,1,0,4,0.4,13,154
6,0.53,1,0,3,0.84,11,243
3,0.64,3,0,2,0.58,13,183
2,0.41,1,1,3,0.86,12,494
6,0.48,1,0,4,0.28,16,234
0,1.0,2,0,2,0.52,4,5
4,0.93,3,0,1,0.36,8,73
0,0.55,2,1,1,0.22,7,44
6,0.51,2,0,2,0.74,13,363
4,0.56,1,0,1,0.26,3,5
0,0.51,1,0,1,0.2,5,26
3,0.61,1,0,3,0.64,10,212
2,0.47,1,0,2,0.64,17,259
1,0.87,3,0,4,0.3,16,98
0,0.47,1,0,3,0.66,11,138
4,0.93,3,0,2,0.32,17,69
5,0.55,1,0,2,0.74,17,341
3,1.0,2,0,3,0.62,9,69
3,0.49,1,0,4,0.32,18,537
1,0.58,2,0,2,0.72,9,217
5,0.59,1,0,3,0.82,21,154
0,0.51,1,0,4,0.5,21,256
4,0.88,2,0,2,0.5,9,233
2,0.83,2,0,2,0.62,22,159
1,0.78,1,0,4,0.62,20,238
4,0.51,1,0,3,0.7,14,265
3,0.88,3,0,4,0.48,5,15
1,0.65,1,0,4,0.24,2,2
5,0.79,2,0,3,0.7,10,205
1,0.94,2,0,2,0.52,8,557
3,0.61,2,0,4,0.3,5,37
3,0.44,1,0,2,0.66,3,4
2,0.61,1,0,1,0.32,3,4
2,1.0,1,0,3,0.54,0,27
6,0.93,2,0,1,0.16,22,58
6,0.52,1,0,3,0.82,11,451
2,0.69,1,0,3,0.66,2,6
1,0.68,2,0,2,0.54,5,16
0,0.66,1,0,3,0.76,21,328
1,0.37,1,0,2,0.22,5,8
4,0.58,1,0,2,0.74,8,452
4,0.49,1,0,4,0.34,0,55
1,0.52,1,0,3,0.8,15,306
1,0.61,1,0,2,0.7,17,548
1,0.84,1,0,3,0.7,8,632
4,0.49,1,0,1,0.32,18,153
6,0.88,3,0,4,0.46,22,40
4,0.78,1,0,3,0.64,4,7
3,0.94,3,0,3,0.66,9,123
6,0.87,3,0,2,0.36,21,11
1,0.83,3,0,4,0.58,7,260
6,0.94,1,0,2,0.44,22,57
0,0.83,2,0,3,0.66,10,175
3,0.55,2,0,2,0.46,11,122
2,0.93,2,0,1,0.22,6,32
0,0.87,2,0,4,0.36,11,123
1,0.48,1,0,4,0.52,11,166
4,0.37,1,0,2,0.4,11,291
5,0.44,1,0,1,0.26,18,82
2,0.55,1,0,4,0.46,12,189
0,0.52,1,0,3,0.82,16,457
0,0.49,2,0,4,0.3,8,648
0,0.21,1,0,2,0.32,18,241
5,1.0,3,0,2,0.3,4,3
4,0.94,1,0,2,0.56,2,13
1,0.88,3,0,4,0.44,1,5
1,0.78,2,0,2,0.6,4,10
2,0.57,1,0,2,0.34,21,165
6,0.3,1,0,2,0.82,12,502
4,0.6,1,0,4,0.6,9,384
1,0.86,2,0,1,0.16,16,76
1,0.5,1,0,1,0.36,20,212
5,0.43,1,0,2,0.56,10,452
4,0.52,1,0,2,0.82,17,517
4,0.87,3,0,1,0.36,21,101
4,0.79,2,0,3,0.74,7,254
6,0.74,2,0,1,0.16,7,13
4,0.51,1,0,2,0.46,1,46
3,0.93,3,0,1,0.36,2,2
2,0.87,3,0,1,0.34,23,9
5,0.68,1,0,2,0.54,7,78
0,0.66,1,0,4,0.4,19,238
0,0.61,1,0,2,0.7,18,538
3,0.83,1,0,2,0.56,21,223
5,0.79,1,0,2,0.68,10,437
0,0.54,2,0,3,0.72,10,150
6,0.47,1,0,4,0.68,14,500
5,0.36,1,0,1,0.14,19,30
4,0.5,1,0,1,0.36,19,251
3,0.83,3,0,4,0.62,23,45
4,0.81,1,0,4,0.26,6,13
6,0.55,1,0,4,0.22,21,63
2,0.56,1,0,2,0.28,5,27
2,0.32,1,0,2,0.72,17,857
2,0.89,3,0,2,0.64,0,36
0,0.3,1,0,3,0.68,21,331
2,0.75,1,0,4,0.28,7,247
3,0.56,1,0,3,0.6,5,28
4,0.87,3,0,1,0.36,18,160
5,0.45,1,0,3,0.74,15,392
1,0.21,1,0,2,0.36,18,294
5,0.48,1,0,1,0.24,20,61
3,0.51,1,0,2,0.72,16,438
3,0.32,1,0,3,0.82,16,419
3,0.88,1,0,2,0.44,3,5
6,0.36,1,0,2,0.68,13,686
5,0.23,1,0,2,0.82,14,593
5,0.72,1,0,3,0.46,1,80
6,0.7,2,0,3,0.72,23,104
2,0.4,1,0,4,0.4,17,374
1,0.55,1,0,2,0.8,12,237
4,0.27,1,0,3,0.9,13,293
2,0.93,3,0,1,0.22,11,41
4,0.48,2,0,3,0.76,16,515
2,0.35,3,0,3,0.92,15,194
4,0.66,1,0,4,0.32,20,245
6,0.53,1,0,4,0.36,11,240
3,0.83,1,0,2,0.62,14,142
1,0.58,2,0,2,0.7,12,269
